Blog	four	looking	second	here	k	music	until	example	want	feature	hot	wrong	series	re	wasn	service	needed	project	tech	release	result	best	country	asked	life	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	team	along	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	say	saw	note	take	knew	drive	slow	going	where	jobs	many	wants	photos	technology	being	rest	around	traffic	world	power	favorite	image	her	gone	am	having	original	tv	th	large	small	past	hours	action	via	company	science	states	its	always	found	really	research	major	self	also	play	plan	sometimes	set	see	available	last	whole	community	recent	person	using	couple	d	continue	anything	into	link	line	posted	us	ago	age	code	results	try	video	let	great	involved	makes	tools	next	process	high	move	latest	could	put	david	system	face	fact	should	hope	stuff	edition	email	etc	co	ve	vs	off	web	government	five	become	does	software	doing	much	problem	chance	worth	above	told	word	work	interview	after	fan	office	then	them	network	another	do	away	terms	com	air	hand	photo	thanks	night	security	comments	months	way	update	together	global	cost	change	market	live	car	means	write	product	remember	still	half	now	year	happen	space	shows	care	yourself	friend	than	browser	online	price	america	only	between	comes	these	media	thinking	real	read	early	amp	business	aren	start	lot	trying	building	since	month	very	family	takes	finally	taken	site	history	help	soon	actually	android	event	issue	reason	ask	launch	american	mobile	less	pretty	during	x	won	probably	both	else	look	while	ready	used	uses	user	love	game	popular	run	works	within	doesn	youtube	go	facebook	click	following	products	win	announced	started	meet	control	links	including	him	front	completely	times	exactly	need	able	based	she	key	well	page	twitter	home	he	companies	likely	even	ever	never	tell	give	answer	third	before	personal	better	weeks	went	side	mean	content	isn	features	mind	seen	seem	don	m	points	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	deal	dead	down	daily	did	box	visit	making	may	mac	man	maybe	talk	seeing	nbsp	group	interesting	morning	living	thing	think	first	long	little	anyone	were	especially	show	data	behind	black	over	get	nearly	enough	reading	across	according	those	sound	different	pay	same	running	money	audience	either	images	e	videos	general	film	important	u	once	starting	search	two	share	needs	coming	through	late	good	house	hard	idea	done	least	part	built	build	most	services	please	point	simple	simply	create	understand	fun	itself	spend	ceo	source	big	bit	google	often	back	decision	forward	single	entire	access	others	account	bunch	ll	day	red	text	national	taking	value	almost	again	ios	thought	add	happens	buy	minutes	special	under	every	school	street	would	phone	must	me	my	keep	end	writing	each	got	free	days	already	top	too	took	talking	though	earth	watch	report	public	full	news	conference	several	social	everything	head	hear	check	no	focus	cool	posts	quick	goes	water	post	today	local	information	platform	happened	name	turn	place	given	released	computer	any	ideas	sure	later	state	ways	review	outside	come	case	myself	someone	events	week	without	seems	blog	os	everyone	longer	follow	program	far	list	design	version	options	court	rather	short	might	wouldn	number	expect	friday	feel	story	kind	nothing	his	hit	b	wrote	art	recently	reasons	political	questions	customers	question	fast	called	users	helping	issues	notes	find	apple	heart	app	use	few	women	getting	something	six	instead	light	looks	our	york	g	their	which	who	why	view	stories	job	april	gets	book	know	press	because	lead	says	own	friends	apps	made	whether	percent	other
Publishing 2.0	0	1	1	7	0	0	0	2	2	6	1	1	0	8	0	1	0	2	0	0	0	3	0	1	0	1	5	1	0	6	1	3	0	1	0	0	0	2	1	1	0	2	0	2	1	0	4	1	1	3	1	21	1	1	0	1	0	0	1	3	4	2	6	0	0	4	2	0	4	2	2	1	0	0	0	1	6	0	2	2	0	0	0	0	0	2	0	3	0	0	4	0	1	0	0	2	0	1	1	0	1	2	2	0	4	0	0	3	0	2	0	1	2	0	1	12	0	2	6	1	2	1	1	0	0	1	6	2	0	1	2	0	2	0	0	8	3	0	0	0	1	4	2	1	2	1	1	0	5	0	1	22	1	1	4	0	0	3	3	1	0	0	0	0	0	2	0	0	0	0	2	1	2	0	2	1	2	10	0	0	1	0	0	0	0	1	4	1	1	0	0	1	2	0	0	1	0	1	0	3	0	8	1	4	2	1	2	0	0	3	2	9	0	0	1	0	2	5	13	2	0	1	0	0	7	0	2	3	2	0	2	0	2	0	0	1	0	9	1	2	0	0	0	0	0	1	2	3	0	0	1	0	0	0	1	0	2	0	0	3	0	2	1	2	0	2	0	0	1	0	1	3	1	5	0	0	0	0	1	1	0	2	7	0	0	2	0	4	2	2	0	1	0	0	1	12	6	0	5	8	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	14	2	2	3	0	1	6	5	1	1	0	0	1	0	2	3	0	5	2	2	0	1	0	1	2	2	0	0	1	3	3	0	0	0	1	0	0	0	2	0	0	1	2	8	2	0	3	0	0	1	1	1	0	4	6	0	3	8	1	1	2	0	0	1	0	0	3	1	0	0	2	0	2	0	7	1	0	0	1	3	1	3	0	5	1	1	1	1	1	0	1	0	0	0	13	1	0	0	2	0	1	1	0	0	0	0	0	4	1	9	2	1	0	1	0	1	0	1	0	1	2	0	0	3	1	0	7	1	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	1	4	1	2	1	1	3	2	3	1	1	2	0	0	1	0	0	2	0	5	56	0	1	1	3	3	0	0	6	3	1	0	0	1	0	9	5	3	3	2	1	1	0	0	0	0	0	3	0	1	0	2	0	0	1	1	2	0	1	0	5	1	1	6	0	2	1	0	2	0	0	0	0	0	0	2	0	1	0	2	0	0	0	4	5	1	4	0	0	1	0	1	2	6	1	0	4	5	3	1	3	0	0	1	0	2	0	2	4	0	0	0	0	1	0	1	8	5	1	7	11	2	9	0	9	0	0	2	2	2	3	5	2	0	2	0	0	1	1	0	7
mezzoblue	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	1	0	0	2	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	5	0	1	3	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Eschaton	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	1	0	1	0	2	1	0	0	0	1	6	0	0	0	1	1	6	0	0	0	0	0	3	4	0	0	0	0	0	1	0	1	0	0	3	2	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	2	0	1	1	1	0	0	1	1	0	0	0	2	0	2	1	0	0	1	0	0	1	0	0	3	0	1	0	3	2	0	0	0	0	1	1	2	2	0	0	0	0	1	0	0	0	1	0	0	1	1	3	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	1	1	0	0	2	4	3	1	1	0	1	0	0	0	0	0	2	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	5	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	1	0	1	1	0	1	1	2	1	0	0	1	0	0	1	0	0	0	0	2	0	1	1	0	0	0	0	0	1	1	0	0	0	2	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	1	5	0	0	2	3	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	4	6	0	0	0	0	2	1	0	1	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	10	1	0	1	0	2	1	0	1	0	0	3	5	1	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	1	1	5	0	4	2	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	2	0	0	2	2	1	2	0	0	2	0	1	0	0	1	0	1	2	0	0	4	1	2	2	1	0	2	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	2	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	1	12	1	0	0	1	0	0	0	1	0	4	2	0	1	3	0	0	0	0	2
PerezHilton	0	0	0	4	0	8	0	0	0	0	1	0	3	3	1	0	1	0	0	1	0	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	2	1	0	1	0	0	0	1	1	0	0	3	0	1	1	12	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	2	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	3	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	3	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	2	1	0	1	0	0	0	0	4	0	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
Slashdot	5	1	1	0	3	3	2	0	0	1	0	1	0	6	0	6	0	5	6	0	0	1	0	0	1	2	6	0	2	1	4	8	0	3	1	1	3	13	6	0	2	0	2	5	2	0	2	3	2	1	2	0	1	0	1	2	4	4	0	1	5	1	4	0	0	5	2	0	0	1	3	2	0	1	1	0	0	0	1	1	0	1	0	1	9	0	2	12	4	0	16	0	3	0	1	2	0	4	1	0	0	0	3	7	6	2	0	0	3	4	1	4	0	0	9	0	2	2	6	2	0	8	0	0	2	0	0	2	0	0	3	3	8	0	0	8	0	4	3	3	0	1	0	0	0	0	1	0	3	2	0	0	0	0	0	3	1	1	6	1	0	0	2	3	0	6	0	8	1	0	2	5	3	0	9	0	0	1	0	0	0	0	0	4	0	1	1	0	0	1	2	4	0	1	3	0	1	4	0	6	5	13	9	1	0	3	2	0	0	11	0	2	6	3	10	0	0	2	1	0	3	25	2	9	2	2	2	2	3	0	4	4	2	1	0	0	2	1	0	3	2	2	0	0	2	0	2	0	2	0	3	1	1	4	1	3	3	0	1	4	0	4	4	3	0	0	0	1	0	4	2	0	3	0	0	2	2	0	3	3	0	3	0	4	0	0	0	3	2	1	4	1	0	1	14	0	0	2	18	2	0	3	2	0	2	0	1	0	0	0	1	0	2	0	0	1	2	1	0	0	3	4	0	2	0	3	0	4	0	0	3	1	1	1	1	1	0	0	0	0	0	3	0	0	2	5	0	2	0	1	0	0	1	2	0	1	2	2	9	3	1	0	13	0	2	10	2	0	6	4	0	2	0	0	3	3	0	3	1	5	0	2	0	3	2	1	1	3	0	3	2	3	1	1	11	1	0	0	1	3	5	0	0	1	0	0	0	0	0	3	0	1	2	0	0	4	0	0	0	0	3	1	3	4	3	1	1	0	0	0	0	2	1	0	0	1	3	0	0	1	0	0	1	5	3	0	0	0	1	0	0	3	2	6	1	9	0	0	0	0	0	1	0	1	0	0	1	2	0	2	3	1	3	3	0	3	8	1	6	0	1	1	1	0	0	0	3	1	0	0	1	1	2	1	1	1	0	0	3	0	2	2	0	2	0	3	0	1	3	3	2	1	0	1	0	0	4	0	6	1	1	0	3	0	6	1	0	2	0	0	5	2	0	1	0	4	2	4	4	0	0	29	0	1	5	0	0	0	0	1	2	0	0	4	0	1	2	7	0	0	0	0	2	0	2	3	7	0	4	2	2	1	4	1	6	0	0	11	9	5	2	0	0	0	0	0	0	1	2	5	0	5	2	1	0	1	0	17	10
Matt Cutts: Gadgets, Google, and SEO	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	2	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	3	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	3	0	2	1	2	0	0	0	0	1	1	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	1	0	3	11	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	1	0	0	1	0	2	0	0	1	0	1	2	0	0	0
Gothamist	1	0	0	1	2	1	0	0	1	0	2	1	0	4	0	1	0	2	0	0	0	1	0	0	0	2	1	0	1	3	7	1	0	0	0	0	2	5	0	1	0	0	0	2	0	0	1	1	0	0	7	1	2	0	0	1	0	0	0	4	1	0	3	0	2	0	0	0	2	1	4	0	1	0	0	0	0	0	1	0	2	0	0	0	2	0	0	2	0	0	5	1	0	1	0	0	0	2	0	1	0	1	0	1	3	0	0	1	0	2	0	1	0	2	1	0	1	0	3	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	1	1	0	0	0	0	1	0	4	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	3	2	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	2	2	0	0	0	0	0	3	1	3	5	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	2	0	0	0	1	1	0	0	2	2	1	1	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	3	3	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	1	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	1	7	0	3	0	0	0	0	0	0	1	0	0	2	0	3	0	1	7	1	0	0	1	0	5	1	0	1	0	1	1	0	3	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	4	0	0	1	1	0	2	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	2	1	0	1	1	0	1	0	1	2	1	0	2	0	2	2	0	1	1	1	0	0	4	1	0	0	0	0	0	0	7	0	1	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	2	2	0	0	0	2	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	1	3	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	2	1	0	0	0	0	7	6	0	3	1	3	1	0	1	0	0	0	2	3	2	1	0	0	1	0	1	0	0	1	1
we make money not art	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	2	1	0	1	1	5	0	0	1	0	3	3	1	0	2	0	1	2	1	1	0	0	0	0	3	4	0	0	0	2	0	0	0	0	2	0	0	0	0	1	1	0	2	0	3	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	3	0	1	0	7	1	1	2	1	0	0	5	1	0	0	0	3	1	0	0	2	0	1	5	0	0	15	0	0	0	0	0	8	0	3	0	0	0	1	0	2	0	1	1	0	2	1	1	2	0	0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	6	2	1	0	0	2	1	0	2	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	2	2	1	0	1	0	0	0	0	0	4	0	0	2	1	0	0	0	1	0	0	0	0	2	2	2	2	1	0	1	1	0	1	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	3	0	0	0	0	0	0	2	1	1	0	1	0	0	1	1	1	3	0	0	1	1	0	0	0	2	0	2	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	1	0	1	3	0	0	0	1	1	3	0	2	4	1	0	2	0	1	0	0	1	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	2	0	2	0	0	1	1	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	5	1	0	0	1	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	2	0	2	0	1	2	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	1	0	2	0	0	0	8	0	0	0	1	0	0	1	3	0	1	0	0	1	0	0	3	3	0	1	0	0	0	0	2	1	5	0	0	9	8	3	0	1	1	0	0	0	2	3	0	3	0	0	3	0	0	1	2	0	0
PaulStamatiou.com - Tech News, Reviews and Guides	2	16	12	54	3	15	28	43	88	26	2	5	5	81	14	23	18	5	11	0	4	37	2	11	19	47	80	25	11	56	27	66	8	15	12	10	11	113	13	13	52	2	29	22	25	36	6	5	19	27	3	15	16	2	16	52	8	8	7	44	68	4	51	11	107	3	39	6	50	9	12	9	6	102	2	3	23	43	2	11	1	28	20	13	23	11	18	20	0	9	23	23	24	43	2	2	3	73	19	7	3	50	71	8	45	5	9	10	12	60	0	57	4	20	95	19	17	2	23	14	3	32	16	18	13	33	34	0	22	9	39	36	17	7	6	42	21	10	7	4	4	52	4	17	6	82	8	2	58	0	24	41	0	2	8	28	9	21	114	9	5	7	17	5	4	55	2	69	3	19	87	123	16	35	139	20	5	51	14	1	123	11	4	1	10	16	49	15	9	4	6	23	5	10	2	14	22	34	11	43	12	110	28	5	8	5	8	11	7	65	40	8	6	0	146	27	16	49	95	19	13	85	13	51	5	5	25	31	20	9	43	27	32	15	12	6	12	101	7	29	11	31	71	5	11	8	8	7	0	101	22	25	15	90	17	20	29	8	42	51	6	45	8	106	29	4	9	38	19	5	32	3	37	14	23	9	9	1	3	34	0	13	11	19	3	8	5	21	18	78	23	18	0	13	45	63	62	21	13	4	14	58	17	21	19	11	3	9	34	7	69	9	8	13	7	79	8	14	21	7	9	94	110	2	9	6	18	12	1	4	12	33	54	17	0	11	26	7	0	29	7	26	6	7	10	31	10	0	8	13	3	0	11	19	4	4	42	40	112	23	21	4	31	5	25	45	6	3	40	121	4	18	19	6	0	44	6	34	6	43	33	11	0	13	55	12	3	5	2	17	0	10	13	61	25	28	11	12	37	7	46	1	27	21	32	10	48	10	19	60	12	9	26	20	13	36	3	4	9	13	3	15	27	45	63	24	54	4	2	12	10	16	9	19	10	82	31	7	33	0	8	16	11	22	18	21	26	10	8	11	4	3	37	2	2	92	25	18	182	464	32	51	15	46	33	11	17	21	20	57	15	20	27	1	10	3	7	17	14	4	25	9	45	14	9	9	82	18	6	38	6	14	0	143	10	9	8	2	1	28	8	12	10	4	14	74	11	33	29	8	9	13	6	27	19	20	15	12	38	26	17	91	18	17	8	8	6	12	15	83	43	3	0	23	3	14	9	11	4	0	10	6	16	8	13	6	10	7	4	18	4	2	4	5	2	14	18	63	3	18	6	45	23	3	80	156	88	0	33	48	4	30	11	51	76	4	8	93	56	16	37	10	0	12	2	10	8	46	3	25	4	4	46	24	32	28	6	0	71
BuzzMachine	0	0	0	5	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	1	1	0	2	0	1	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	1	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	1	1	0	1	0	0	1	5	0	1	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	2	0	0	2	0	0	0	0	0	4	0	0	0	0	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	0	1	0	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	4	1	0	0	0	0	3	0	0	0	0	0	7	0	0	4	0	0	0	0	0	1	0	0	1	0	2	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	2	2	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	23	0	0	0	0	2	1	0	1	0	0	1	0	0	0	4	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	3	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
